date,us_cpi,us_unrate,us_fedfunds,us_10y,us_cpi_mom_pct,us_cpi_yoy_pct,us_cpi_roll3,us_cpi_roll6,us_unrate_mom_pct,us_unrate_yoy_pct,us_unrate_roll3,us_unrate_roll6,us_fedfunds_mom_pct,us_fedfunds_yoy_pct,us_fedfunds_roll3,us_fedfunds_roll6,us_10y_mom_pct,us_10y_yoy_pct,us_10y_roll3,us_10y_roll6,risk_score,alerts,risk_level,z_cpi,z_unrate,z_fedfunds,z_10y,macro_stress_index,stress_level,macro_strategy
1980-12-01,86.4,7.2,18.9,12.844090909090909,0.9345794392523477,12.353706111833551,85.56666666666666,84.4,-3.999999999999993,20.0,7.400000000000001,7.533333333333334,19.242902208201883,37.15529753265603,15.853333333333332,12.845,1.2565133808873474,23.66734940391786,12.426720142602491,11.689727315168492,5,High Inflation Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,3.034249088238892,0.7832532142796874,3.851420428121622,2.3889775917993386,10.05790032243954,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-08-01,92.2,7.4,17.82,14.937142857142858,0.7650273224043769,10.817307692307686,91.40000000000002,90.26666666666668,2.77777777777779,-3.8961038961038974,7.366666666666667,7.366666666666667,-6.407563025210084,85.4318418314256,18.65333333333333,17.48333333333333,4.595182015768939,34.54576649223642,14.230108225108223,13.930876262626263,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.4852501501044286,0.8997288592727748,3.555203684610881,3.1009843549294986,10.041167048917583,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-07-01,91.5,7.2,19.04,14.280909090909091,1.104972375690605,10.774818401937058,90.56666666666666,89.56666666666666,-3.999999999999993,-7.692307692307687,7.400000000000001,7.366666666666667,-0.3141361256544628,110.8527131782946,18.886666666666667,17.168333333333333,6.002226795775845,39.35684187181192,13.95089393939394,13.640426527176528,5,High Inflation Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.4700675158351477,0.7832532142796874,3.889818894873015,2.87774915038157,10.02088877536942,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-01-01,87.2,7.5,19.08,12.568571428571428,0.92592592592593,11.794871794871796,86.40000000000002,85.16666666666667,4.166666666666674,19.047619047619047,7.400000000000001,7.483333333333334,0.952380952380949,38.06078147612156,17.94333333333333,14.519999999999998,-2.1451069014504665,16.351176700429782,12.699122740005093,12.07653467447585,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.834561661653423,0.9579666817693183,3.9007898853734124,2.29525238173632,9.988570610532474,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1980-04-01,80.9,6.9,17.61,11.473333333333333,0.998751560549338,14.589235127478762,80.0,78.48333333333333,9.523809523809534,18.96551724137932,6.5,6.283333333333334,2.44328097731239,75.92407592407594,16.310000000000002,14.951666666666668,-10.00634968064842,24.954621360633134,12.212372598162071,11.413091402749297,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,3.8330673115333105,0.6085397467900564,3.497605984483792,1.9226782887841063,9.861891331591266,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1980-03-01,80.1,6.3,17.19,12.74904761904762,1.3924050632911245,14.592274678111572,79.03333333333333,77.53333333333335,0.0,8.62068965517242,6.3,6.133333333333334,21.65605095541401,70.36669970267593,15.046666666666669,14.311666666666667,2.6928543165612773,39.83400519445988,11.988685729475202,11.217384332042228,5,High Inflation Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,3.83415342959267,0.2591128118107941,3.382410584229615,2.3566461127054024,9.832322938338482,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-09-01,93.1,7.6,15.87,15.323809523809524,0.9761388286333884,10.96543504171632,92.26666666666668,91.01666666666664,2.7027027027026973,1.3333333333333195,7.400000000000001,7.400000000000001,-10.942760942760954,45.99816007359705,17.576666666666664,17.678333333333335,2.588625350675855,33.151274412446206,14.847287157287155,14.29885966810967,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.53818027324209,1.0162045042658618,3.020367897716485,3.232519208615237,9.807271883839674,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-05-01,89.7,7.5,18.52,14.0995,0.6734006734006925,9.79192166462668,89.13333333333333,88.16666666666667,4.166666666666674,0.0,7.366666666666667,7.366666666666667,17.811704834605592,68.6703096539162,16.313333333333333,17.141666666666666,3.070108260521476,38.48253121930685,13.631644300144302,13.250339947089946,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.1188505019268993,0.9579666817693183,3.747196018367843,2.816038068752285,9.640051270816345,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-06-01,90.5,7.5,19.1,13.472272727272726,0.8918617614269708,9.696969696969692,89.76666666666667,88.85000000000001,0.0,-1.3157894736842035,7.399999999999999,7.416666666666667,3.1317494600431983,101.68954593453007,17.779999999999998,17.175,-4.448578124949643,37.78013405704064,13.75043217893218,13.355036916786917,5,High Inflation Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.084921458031143,0.9579666817693183,3.906275380623612,2.602670187168096,9.55183370759217,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
1981-10-01,93.4,7.9,15.08,15.14809523809524,0.3222341568206444,10.271546635182991,92.90000000000002,91.73333333333332,3.9473684210526327,5.3333333333333455,7.633333333333333,7.516666666666667,-4.977945809703844,17.720530835284933,16.256666666666664,17.57166666666667,-1.1466749533871945,28.90499951189236,15.136349206349209,14.543621572871572,6,High Inflation Risk; Rising Unemployment Risk; High Interest Rate Environment; Bond Yield Stress,HIGH RISK,2.29023417180821,1.1909179717554932,2.803690835333628,3.1727453650068167,9.457588343904149,CRITICAL,"Defensive: Increase Cash, Bonds, Gold"
